codigo_aeropuerto;nombre;latitud;longitud;altura;zona_horaria;horario_verano;zona_horaria_iana
CWI;Clinton Municipal;4.183.075;-903.289.722;708;-6;A;America/Chicago
CWT;Chatsworth Station;34.256.944;-118.598.889;978;-8;A;America/Los_Angeles
CXF;Coldfoot Airport;67.251.389;-150.176.111;1014;-9;A;America/Anchorage
CXL;Calexico Intl;32.669.502;-11.551.333;4;-8;A;America/Los_Angeles
CXO;Lone Star Executive;30.351.833;-95.414.467;245;-6;A;America/Chicago
CXY;Capital City Airport;402.171.389;-768.513.611;347;-5;A;America/New_York
CYF;Chefornak Airport;60.149.167;-164.285.556;40;-9;A;America/Anchorage
CYM;Chatham Seaplane Base;57.515;-134.946.111;0;-9;A;America/Anchorage
CYS;Cheyenne Rgnl Jerry Olson Fld;41.155.722;-104.811.839;6156;-7;A;America/Denver
CYT;Yakataga Airport;60.081.901;-142.493.611;12;-9;A;America/Anchorage
CZF;Cape Romanzof Lrrs;61.780.297;-166.038.747;457;-9;A;America/Anchorage
CZG;Tri-Cities;420.471;-760.578;833;-5;A;America/New_York
CZN;Chisana Airport;62.071.111;-142.048.333;1011;-9;A;America/Anchorage
DAB;Daytona Beach Intl;29.179.917;-81.058.056;34;-5;A;America/New_York
DAL;Dallas Love Fld;32.847.111;-96.851.778;487;-6;A;America/Chicago
DAW;Skyhaven Airport;432.840.556;-709.292.778;321;-5;A;America/New_York
DAY;James M Cox Dayton Intl;39.902.375;-84.219.375;1009;-5;A;America/New_York
DBN;W H Barron Field;323.388;-82.591;311;-5;A;America/New_York
DBQ;Dubuque Rgnl;42.402;-90.709.472;1076;-6;A;America/Chicago
DCA;Ronald Reagan Washington Natl;38.852.083;-77.037.722;15;-5;A;America/New_York
DDC;Dodge City Regional Airport;377.634;-999.656;2594;-6;A;America/Chicago
DEC;Decatur;39.834.564;-88.865.689;682;-6;A;America/Chicago
DEN;Denver Intl;39.861.656;-104.673.178;5431;-7;A;America/Denver
DET;Coleman A Young Muni;42.409.195;-83.009.861;626;-5;A;America/New_York
DFW;Dallas Fort Worth Intl;32.896.828;-97.037.997;607;-6;A;America/Chicago
DGL;Douglas Municipal Airport;313.426.028;-1.095.064.544;4173;-7;N;America/Phoenix
DHB;Deer Harbor Seaplane;48.618.397;-12.300.596;0;-8;A;America/Los_Angeles
DHN;Dothan Rgnl;31.321.339;-85.449.628;401;-6;A;America/Chicago
DHT;Dalhart Muni;36.022.586;-102.547.278;3991;-6;A;America/Chicago
DIK;Dickinson Theodore Roosevelt Regional Airport;467.975;-102.801.944;2592;-7;A;America/Denver
DKB;De Kalb Taylor Municipal Airport;419.338.342;-887.056.864;914;-6;U;America/Chicago
DKK;Chautauqua County-Dunkirk Airport;424.933.353;-792.720.417;693;-5;A;America/New_York
DKX;Knoxville Downtown Island Airport;359.638.333;-838.736.667;833;-5;A;America/New_York
DLF;Laughlin Afb;29.359.486;-100.777.975;1082;-6;A;America/Chicago
DLG;Dillingham;59.044.667;-1.585.055;74;-9;A;America/Anchorage
DLH;Duluth Intl;46.842.091;-92.193.649;1428;-6;A;America/Chicago
DLL;Baraboo Wisconsin Dells Airport;435.217.843;-897.709.266;979;-6;A;America/Chicago
DMA;Davis Monthan Afb;32.166.467;-110.883.144;2704;-7;A;America/Phoenix
DNL;Daniel Field Airport;334.665.028;-820.393.808;423;-5;A;America/New_York
DNN;Dalton Municipal Airport;347.229.444;-8.487.025;709;-5;A;America/New_York
DNV;Vermilion Regional;401.996.944;-875.955.278;696;-6;A;America/Chicago
DOV;Dover Afb;39.129.539;-75.465.958;28;-5;A;America/New_York
DPA;Dupage;41.907.778;-88.248.611;758;-6;A;America/Chicago
DQH;Douglas Municipal Airport;314.767.385;-828.605.664;257;-5;A;America/New_York
DRG;Deering Airport;660.696;-162.766;21;-9;A;America/Anchorage
DRI;Beauregard Rgnl;30.831.722;-93.339.917;202;-6;A;America/Chicago
DRM;Drummond Island Airport;460.093.114;-837.439.342;668;-5;A;America/New_York
DRO;Durango La Plata Co;37.151.516;-10.775.377;6685;-7;A;America/Denver
DRT;Del Rio Intl;29.374.208;-100.927.158;1002;-6;A;America/Chicago
DSM;Des Moines Intl;41.533.972;-93.663.083;958;-6;A;America/Chicago
DTA;Delta Municipal Airport;393.806.386;-1.125.077.147;4759;-7;A;America/Denver
DTS;Destin;304.000.611;-864.714.772;23;-6;A;America/Chicago
DTW;Detroit Metro Wayne Co;42.212.444;-83.353.389;645;-5;A;America/New_York
DUC;Halliburton Field Airport;344.713.056;-979.598.611;1114;-6;A;America/Chicago
DUG;Bisbee Douglas Intl;31.469.028;-109.603.667;4154;-7;A;America/Phoenix
DUJ;DuBois Regional Airport;411.783;-788.987;1817;-5;A;America/New_York
DUT;Unalaska;53.900.139;-1.665.435;22;-9;A;America/Anchorage
DVL;Devils Lake Regional Airport;48.114.444;-98.908.611;1445;-6;A;America/Chicago
DVT;Deer Valley Municipal Airport;334.117;112.457;1478;8;A;Asia/Chongqing
DWA;Yolo County Airport;385.793.889;-1.218.569.444;100;-8;A;America/Los_Angeles
DWH;David Wayne Hooks Field;30.063.746;-95.554.276;152;-6;A;America/Chicago
DWS;Orlando;28.398;-81.57;340;-5;A;America/New_York
DXR;Danbury Municipal Airport;413.715.353;-734.821.906;458;-5;A;America/New_York
DYS;Dyess Afb;32.420.756;-998.546;1789;-6;A;America/Chicago
E25;Wickenburg Municipal Airport;3.396.889.877;-1.127.990.036;2377;-7;A;America/Phoenix
E51;Bagdad Airport;345.958.528;-113.170.195;4183;-7;A;America/Phoenix
E55;Ocean Ridge Airport;388.016.111;-1.235.306.389;940;-8;A;America/Los_Angeles
E63;Gila Bend Municipal Airport;32.960.169;-112.673.636;789;-7;U;America/Phoenix
E91;Chinle Municipal Airport;361.108.806;-1.095.754.222;5547;-7;N;America/Denver
EAA;Eagle Airport;64.778.056;-141.149.722;908;-9;A;America/Anchorage
EAR;Kearney Municipal Airport;40.727;-990.068;2131;-6;A;America/Chicago
EAT;Pangborn Field;47.398;-120.206;1249;-8;A;America/Los_Angeles
EAU;Chippewa Valley Regional Airport;448.658;-914.843;913;-6;A;America/Chicago
ECA;Iosco County;44.311;-83.422;606;-5;A;America/New_York
ECG;Elizabeth City Cgas Rgnl;36.260.581;-76.174.572;12;-5;A;America/New_York
ECP;Panama City-NW Florida Bea.;303.417;-857.973;69;-6;A;America/Chicago
EDF;Elmendorf Afb;61.250.986;-149.806.503;212;-9;A;America/Anchorage
EDW;Edwards Afb;34.905.417;-117.883.739;2302;-8;A;America/Los_Angeles
EEK;Eek Airport;60.213.611;-162.043.889;15;-9;A;America/Anchorage
EEN;Dillant Hopkins Airport;72.270.833;42.898.333;149;-5;A;NA
EET;Shelby County Airport;331.777.778;-867.832.222;586;-6;A;America/Chicago
EFD;Ellington Fld;29.607.333;-9.515.875;32;-6;A;America/Chicago
EGA;Eagle County Airport;396.427.611;-1.069.159.347;6548;-7;U;America/Denver
EGE;Eagle Co Rgnl;39.642.556;-106.917.694;6540;-7;A;America/Denver
EGT;Wellington Municipal;3.739.411;-97.423.225;1277;-6;A;America/Chicago
EGV;Eagle River;45.932.333;-89.268.283;1642;-6;A;America/Chicago
EGX;Egegik Airport;58.185.556;-157.375.556;92;-9;A;America/Anchorage
EHM;Cape Newenham Lrrs;58.646.428;-162.062.778;541;-9;A;America/Anchorage
EIL;Eielson Afb;64.665.667;-1.471.015;548;-9;A;America/Anchorage
EKI;Elkhart Municipal;41.719.444;-86.003.333;778;-5;A;America/New_York
EKN;Elkins Randolph Co Jennings Randolph;38.889.444;-79.857.139;1987;-5;A;America/New_York
EKO;Elko Regional Airport;408.249;-115.792;5140;-8;A;America/Los_Angeles
EKY;Bessemer;331.876;-865.558;700;-6;A;America/Chicago
ELD;South Arkansas Rgnl At Goodwin Fld;33.220.972;-92.813.278;277;-6;A;America/Chicago
ELI;Elim Airport;64.615;-162.270.556;162;-9;A;America/Anchorage
ELM;Elmira Corning Rgnl;42.159.889;-76.891.611;954;-5;A;America/New_York
ELP;El Paso Intl;3.180.725;-106.377.583;3958;-7;A;America/Denver
ELV;Elfin Cove Seaplane Base;58.195.278;-1.363.475;0;-9;A;America/Anchorage
ELY;Ely Airport;39.299.722;-114.841.944;6259;-8;A;America/Los_Angeles
EMK;Emmonak Airport;62.786.111;-164.490.833;13;-9;A;America/Anchorage
EMP;Emporia Municipal Airport;383.321;-961.912;1208;-6;A;America/Chicago
ENA;Kenai Muni;60.573.111;-151.245;99;-9;A;America/Anchorage
END;Vance Afb;36.339.167;-979.165;1307;-6;A;America/Chicago
ENV;Wendover;40.718.694;-114.030.889;4237;-7;A;America/Denver
ENW;Kenosha Regional Airport;425.956.944;-879.278.056;742;-6;A;America/Chicago
EOK;Keokuk Municipal Airport;404.599.078;-914.285.011;671;-6;A;America/Chicago
EPM;Eastport Municipal Airport;449.101.111;-670.126.944;45;-5;A;America/New_York
EQY;Monroe Reqional Airport;3.501.833;-8.062.001;679;-5;A;America/New_York
ERI;Erie Intl Tom Ridge Fld;42.082.022;-80.176.217;733;-5;A;America/New_York
ERV;Kerrville Municipal Airport;299.766.667;-990.854.722;1617;-6;A;America/Chicago
ERY;Luce County Airport;46.311.199;-85.457.298;869;-5;A;America/New_York
ESC;Delta County Airport;45.722.778;-87.093.611;609;-5;A;America/New_York
ESD;Orcas Island Airport;48.708.056;-122.910.556;31;-8;A;America/Los_Angeles
ESF;Esler Rgnl;31.394.903;-92.295.772;112;-6;A;America/Chicago
ESN;Easton-Newnam Field Airport;388.041.667;-76.069;72;-5;A;America/New_York
EUF;Weedon Field;315.708;-850.774;285;-6;A;America/Chicago
EUG;Mahlon Sweet Fld;44.124.583;-123.211.972;374;-8;A;America/Los_Angeles
EVV;Evansville Regional;38.036.997;-87.532.364;418;-6;A;America/Chicago
EVW;Evanston-Uinta CO Burns Fld;411.649;-1.110.208;7143;-7;A;America/Denver
EWB;New Bedford Regional Airport;416.761;-709.569;80;-5;A;America/New_York
EWK;Newton City-County Airport;380.570.785;-972.752.278;1533;-6;A;America/Chicago
EWN;Craven Co Rgnl;35.072.972;-77.042.944;18;-5;A;America/New_York
EWR;Newark Liberty Intl;406.925;-74.168.667;18;-5;A;America/New_York
EXI;Excursion Inlet Seaplane Base;58.420.556;-135.449.167;0;-9;A;America/Anchorage
EYW;Key West Intl;24.556.111;-81.759.556;3;-5;A;America/New_York
F57;Seaplane Base;280.575;-817.628.056;140;-5;A;America/New_York
FAF;Felker Aaf;371.325;-76.608.841;12;-5;A;America/New_York
FAI;Fairbanks Intl;64.815.114;-147.856.267;434;-9;A;America/Anchorage
FAR;Hector International Airport;4.692.065;-968.157.639;902;-6;A;America/Chicago
FAT;Fresno Yosemite Intl;36.776.194;-11.971.814;336;-8;A;America/Los_Angeles
FAY;Fayetteville Regional Grannis Field;349.912;-788.803;189;-5;A;America/New_York
FBG;Fredericksburg Amtrak Station;38.298.416;-77.456.875;130;-5;A;America/New_York
FBK;Ladd Aaf;648.375;-147.614.444;454;-9;A;America/Anchorage
FBR;Fort Bridger;41.236;-1.102.436;7038;-7;A;America/Denver
FBS;Friday Harbor Seaplane Base;48.537.222;-123.009.722;0;-8;A;America/Los_Angeles
FCA;Glacier Park Intl;48.310.472;-114.256;2977;-7;A;America/Denver
FCM;Flying Cloud Airport;444.938;-932.726;906;-6;A;America/Chicago
FCS;Butts Aaf;38.678.394;-104.756.581;5838;-7;A;America/Denver
FDW;Fairfield County Airport;34.315.472;-81.108.806;577;-5;A;America/New_York
FDY;Findlay Airport;410.120.278;-836.686.111;819;-5;U;America/New_York
FFA;First Flight Airport;36.02;-75.67;13;-5;A;America/New_York
FFC;Atlanta Regional Airport - Falcon Field;3.335.725;-845.718.333;808;-5;A;America/New_York
FFO;Wright Patterson Afb;39.826.111;-84.048.332;823;-5;A;America/New_York
FFT;Capital City Airport;381.819.722;-849.061.389;812;-5;A;America/New_York
FFZ;Mesa Falcon Field;334.608.001.708.984;-111.727.996.826.172;1394;-7;A;America/Phoenix
FHU;Sierra Vista Muni Libby Aaf;31.588.472;-110.344.389;4719;-7;A;America/Phoenix
FIT;Fitchburg Municipal Airport;425.541.111;-717.589.722;348;-5;A;America/New_York
FKL;Franklin;41.377.874;-79.860.362;1540;-5;A;America/New_York
FLD;Fond Du Lac County Airport;437.711.667;-884.884.167;808;-6;A;America/Chicago
FLG;Flagstaff Pulliam Airport;35.140.318;-1.116.692.392;7015;-7;N;America/Phoenix
FLL;Fort Lauderdale Hollywood Intl;26.072.583;-8.015.275;9;-5;A;America/New_York
FLO;Florence Rgnl;34.185.361;-79.723.889;146;-5;A;America/New_York
FLV;Sherman Aaf;39.368.332;-94.914.686;772;-6;A;America/Chicago
FME;Tipton;39.085.386;-76.759.414;150;-5;A;America/New_York
FMH;Otis Angb;41.658.439;-70.521.417;131;-5;A;America/New_York
FMN;Four Corners Rgnl;3.674.125;-108.229.944;5506;-7;A;America/Denver
FMY;Page Fld;26.586.611;-8.186.325;17;-5;A;America/New_York
FNL;Fort Collins Loveland Muni;40.451.828;-105.011.336;5016;-7;A;America/Denver
FNR;Funter Bay Seaplane Base;58.254.444;-134.897.778;0;-9;A;America/Anchorage
FNT;Bishop International;42.965.424;-83.743.629;782;-5;A;America/New_York
FOD;Fort Dodge Rgnl;425.512;-94.191.842;1157;-6;A;America/Chicago
FOE;Forbes Fld;38.950.944;-95.663.611;1078;-6;A;America/Chicago
FOK;Francis S Gabreski;40.843.656;-72.631.789;67;-5;A;America/New_York
FRD;Friday Harbor Airport;48.521.944;-123.024.444;113;-8;A;America/Los_Angeles
FRI;Marshall Aaf;39.055.275;-96.764.453;1063;-6;A;America/Chicago
FRN;Bryant Ahp;61.266.381;-149.653.119;378;-9;A;America/Anchorage
FRP;St Lucie County International Airport;27.497.472;-80.372.638;23;-5;A;America/New_York
FSD;Sioux Falls;43.582.014;-96.741.914;1429;-6;A;America/Chicago
FSI;Henry Post Aaf;34.649.833;-98.402.167;1189;-6;A;America/Chicago
FSM;Fort Smith Rgnl;35.336.583;-94.367.444;469;-6;A;America/Chicago
FST;Fort Stockton Pecos Co;30.915.667;-102.916.139;3011;-6;A;America/Chicago
FTK;Godman Aaf;37.907.058;-85.972.106;756;-5;A;America/New_York
FTW;Fort Worth Meacham Intl;32.819.778;-97.362.444;710;-6;A;America/Chicago
FTY;Fulton County Airport Brown Field;337.791;-845.214;841;-5;A;America/New_York
FUL;Fullerton Municipal Airport;33.521.925;-117.584.722;96;-8;A;America/Los_Angeles
FWA;Fort Wayne;40.978.472;-85.195.139;815;-5;A;America/New_York
FXE;Fort Lauderdale Executive;26.197.281;-80.170.706;13;-5;A;America/New_York
FYU;Fort Yukon;66.571.492;-145.250.417;433;-9;A;America/Anchorage
FYV;Drake Fld;36.005.094;-94.170.059;1251;-6;A;America/Chicago
FZG;Fitzgerald Municipal Airport;316.839.046;-832.709.036;365;-5;A;America/New_York
FZI;Fostoria Metropolitan Airport;411.908.333;-833.930.833;752;-5;A;America/New_York
GAD;Northeast Alabama Regional Airport;339.726.489;-860.890.834;569;-6;A;America/Chicago
GAI;Montgomery County Airpark;391.006;-7.709.576;0;-5;A;America/New_York
GAL;Edward G Pitka Sr;64.736.178;-156.937.417;152;-9;A;America/Anchorage
GAM;Gambell Airport;637.668;-171.733;27;-9;A;America/Anchorage
GBN;Great Bend Municipal;38.344.167;-98.859.167;1887;-6;A;America/Chicago
GCC;Gillette-Campbell County Airport;443.489.167;-1.055.393.611;4365;-7;A;America/Denver
GCK;Garden City Rgnl;37.927.528;-100.724.417;2891;-6;A;America/Chicago
GCN;Grand Canyon National Park Airport;359.523.611;-1.121.469.722;6609;-7;N;America/Phoenix
GCW;Grand Canyon West Airport;355.925;-1.134.859;4825;-7;U;America/Phoenix
GDV;Dawson Community Airport;47.138.611;-104.807.222;749;-7;A;America/Denver
GDW;Gladwin Zettel Memorial Airport;439.705.893;-8.447.502;774;-5;A;America/New_York
GED;Sussex Co;38.689.194;-75.358.889;50;-5;A;America/New_York
GEG;Spokane Intl;47.619.861;-117.533.833;2376;-8;A;America/Los_Angeles
GEU;Glendale Municipal Airport;335.269.167;-1.122.951.389;1071;-7;N;America/Phoenix
GFK;Grand Forks Intl;47.949.256;-97.176.111;845;-6;A;America/Chicago
GFL;Floyd Bennett Memorial Airport;43.341.222;-73.610.305;328;-5;A;America/New_York
GGE;Georgetown County Airport;333.114.018;-793.203.139;40;-5;A;America/New_York
GGG;East Texas Rgnl;32.384.014;-94.711.486;365;-6;A;America/Chicago
GGW;Wokal Field Glasgow International Airport;482.125;-106.615;2296;-7;A;America/Denver
GHG;Marshfield Municipal Airport;4.209.825;-706.721.389;9;-5;A;America/New_York
GIF;Gilbert Airport;28.062.778;-81.753.333;145;-5;A;America/New_York
GJT;Grand Junction Regional;39.122.413;-108.526.735;4858;-7;A;America/Denver
GKN;Gulkana;62.154.888;-145.456.639;1580;-9;A;America/Anchorage
GKY;Arlington Municipal;326.638.611;-970.942.778;628;-6;A;America/Chicago
GLD;Renner Fld;39.370.621;-101.698.992;3656;-7;A;America/Denver
GLH;Mid Delta Regional Airport;334.829;-909.856;131;-6;A;America/Chicago
GLS;Scholes Intl At Galveston;29.265.322;-94.860.406;6;-6;A;America/Chicago
GLV;Golovin Airport;64.550.556;-163.007.222;59;-9;A;America/Anchorage
GNT;Grants Milan Muni;35.167.286;-107.901.989;6537;-7;A;America/Denver
GNU;Goodnews Airport;591.175;-1.615.775;15;-9;A;America/Anchorage
GNV;Gainesville Rgnl;29.690.056;-82.271.778;152;-5;A;America/New_York
GON;Groton New London;41.330.056;-72.045.139;9;-5;A;America/New_York
GPT;Gulfport-Biloxi;30.407.278;-89.070.111;28;-6;A;America/Chicago
GPZ;Grand Rapids Itasca County;47.211.111;-93.509.722;413;-6;A;America/Chicago
GQQ;Galion Municipal Airport;407.533.889;-827.238.056;1224;-5;A;America/New_York
GRB;Austin Straubel Intl;44.485.072;-88.129.589;695;-6;A;America/Chicago
GRF;Gray Aaf;47.079.217;-122.580.783;302;-8;A;America/Los_Angeles
GRI;Central Nebraska Regional Airport;409.675;-983.096;1847;-6;A;America/Chicago
GRK;Robert Gray Aaf;3.106.725;-97.828.917;1015;-6;A;America/Chicago
GRM;Grand Marais Cook County Airport;478.383.333;-903.829.444;1799;-6;U;America/Chicago
GRR;Gerald R Ford Intl;42.880.833;-85.522.806;794;-5;A;America/New_York
GSB;Seymour Johnson Afb;35.339.383;-77.960.589;110;-5;A;America/New_York
GSO;Piedmont Triad;3.609.775;-79.937.306;925;-5;A;America/New_York
GSP;Greenville-Spartanburg International;34.895.556;-82.218.889;964;-5;A;America/New_York
GST;Gustavus Airport;584.253;-135.707;34;-9;A;America/Anchorage
GTB;Wheeler Sack Aaf;44.055.619;-75.719.458;690;-5;A;America/New_York
GTF;Great Falls Intl;47.482;-111.370.689;3677;-7;A;America/Denver
GTR;Golden Triangle Regional Airport;33.450.333;-88.591.361;264;-6;A;America/Chicago
GTU;Georgetown Municipal Airport;30.678.809;-976.793.837;790;-6;A;America/Chicago
GUC;Gunnison - Crested Butte;38.533.889;-106.933.056;7678;-7;A;America/Denver
GUP;Gallup Muni;35.511.058;-108.789.308;6472;-7;A;America/Denver
GUS;Grissom Arb;40.648.094;-86.152.119;812;-5;A;America/New_York
GVL;Lee Gilmer Memorial Airport;34.272.627;-838.302.233;1276;-5;A;America/New_York
GVQ;Genesee County Airport;4.303.175;-781.696.667;914;-5;A;America/New_York
GVT;Majors;33.067.839;-96.065.333;535;-6;A;America/Chicago
GWO;Greenwood Leflore;33.494.328;-90.084.706;162;-6;A;America/Chicago
GYY;Gary Chicago International Airport;416.163;-874.128;591;-6;A;America/Chicago
HBG;Hattiesburg Bobby L. Chain Municipal Airport;312.649.444;-892.528.889;151;-6;A;America/Chicago
HBR;Hobart Muni;34.991.308;-99.051.353;1564;-6;A;America/Chicago
HCC;Columbia County;422.913;-737.103;198;-5;A;America/New_York
HCR;Holy Cross Airport;621.883;-159.775;70;-9;A;America/Anchorage
HDH;Dillingham;21.579.475;-158.197.281;14;-10;A;Pacific/Honolulu
HDI;Hardwick Field Airport;352.199.994;-84.832.369;874;-5;A;America/New_York
HDN;Yampa Valley;40.481.181;-10.721.766;6602;-7;A;America/Denver
HDO;Hondo Municipal Airport;293.591;-991.775;930;-6;A;America/Chicago
HFD;Hartford Brainard;41.736.722;-72.649.444;18;-5;A;America/New_York
HGR;Hagerstown Regional Richard A Henson Field;397.079;-777.295;704;-5;A;America/New_York
HHH;Hilton Head;32.216;-80.752;10;-5;U;America/New_York
HHI;Wheeler Aaf;214.835;-158.039.667;837;-10;A;Pacific/Honolulu
HHR;Jack Northrop Fld Hawthorne Muni;33.922.839;-118.335.186;66;-8;A;America/Los_Angeles
HIB;Chisholm Hibbing;473.866;-92.838.994;1353;-6;A;America/Chicago
HIF;Hill Afb;41.123.939;-111.973.039;4789;-7;A;America/Denver
HII;Lake Havasu City Airport;345.711.111;-1.143.582.778;783;-7;N;America/Phoenix
HIO;Portland Hillsboro;45.540.394;-122.949.825;204;-8;A;America/Los_Angeles
HKB;Healy River Airport;638.675;-148.968.889;1263;-9;A;America/Anchorage
HKY;Hickory Rgnl;35.741.147;-8.138.955;1189;-5;A;America/New_York
HLG;Wheeling Ohio County Airport;40.175;-806.463;1195;-5;A;America/New_York
HLN;Helena Rgnl;46.606.806;-11.198.275;3877;-7;A;America/Denver
HLR;Hood Aaf;31.138.731;-97.714.469;924;-6;A;America/Chicago
HMN;Holloman Afb;32.852.519;-106.106.525;4093;-7;A;America/Denver
HNH;Hoonah Airport;58.096.111;-135.409.722;19;-9;A;America/Anchorage
HNL;Honolulu Intl;21.318.681;-157.922.428;13;-10;N;Pacific/Honolulu
HNM;Hana;20.795.636;-156.014.439;78;-10;A;Pacific/Honolulu
HNS;Haines Airport;592.438;-135.524;15;-9;A;America/Anchorage
HOB;Lea Co Rgnl;32.687.528;-103.217.028;3661;-7;A;America/Denver
HOM;Homer;59.645.556;-151.476.583;84;-9;A;America/Anchorage
HON;Huron Rgnl;443.852;-98.228.542;1289;-6;A;America/Chicago
HOP;Campbell Aaf;36.668.567;-87.496.183;573;-6;A;America/Chicago
HOT;Memorial Field;34.478;-930.962;540;-6;A;America/Chicago
HOU;William P Hobby;29.645.419;-95.278.889;46;-6;A;America/Chicago
HPB;Hooper Bay Airport;615.239;-166.147;7;-9;A;America/Anchorage
HPN;Westchester Co;41.066.959;-73.707.575;439;-5;A;America/New_York
HQM;Bowerman Field;469.711.944;-1.239.365.556;18;-8;A;America/Los_Angeles
HQU;McDuffie County Airport;335.297.315;-825.169.509;501;-5;A;America/New_York
HRL;Valley Intl;262.285;-97.654.389;36;-6;A;America/Chicago
HRO;Boone Co;36.261.519;-93.154.728;1365;-6;A;America/Chicago
HRT;Hurlburt Fld;30.427.803;-86.689.278;38;-6;A;America/Chicago
HSH;Henderson Executive Airport;35.972.778;-115.134.444;1881;-8;A;America/Los_Angeles
HSL;Huslia Airport;65.697.778;-156.351.389;213;-9;A;America/Anchorage
HST;Homestead Arb;2.548.855;-80.383.567;6;-5;A;America/New_York
HSV;Huntsville International Airport-Carl T Jones Field;346.371.944;-867.750.556;629;-6;A;America/Chicago
HTL;Roscommon Co;44.359.806;-84.671.112;1150;-5;A;America/New_York
HTS;Tri State Milton J Ferguson Field;383.667;-82.558;828;-5;A;America/New_York
HUA;Redstone Aaf;34.678.653;-86.684.781;685;-6;A;America/Chicago
HUF;Terre Haute Intl Hulman Fld;39.451.464;-87.307.561;589;-5;A;America/New_York
HUL;Houlton Intl;46.123.083;-67.792.056;489;-5;A;America/New_York
HUS;Hughes Airport;66.039.167;-154.264.722;299;-9;A;America/Anchorage
HUT;Hutchinson Municipal Airport;380.655;-978.606;1543;-6;A;America/Chicago
HVN;Tweed-New Haven Airport;4.126.375;-72.886.806.000.000.000;14;-5;A;America/New_York
HVR;Havre City Co;48.542.983;-109.762.342;2590;-7;A;America/Denver
HWD;Hayward Executive Airport;3.765.888.888.888.880;-12.212.166.666.666.600;52;-8;A;America/Los_Angeles
HWO;North Perry;26.001.222;-80.240.722;8;-5;A;America/New_York
HXD;Hilton Head Airport;322.243.611;-80.697.472.200.000.000;19;-5;A;America/New_York
HYA;Barnstable Muni Boardman Polando Fld;41.669.336;-70.280.356;55;-5;A;America/New_York
HYG;Hydaburg Seaplane Base;55.206.389;-132.828.333;0;-9;A;America/Anchorage
HYL;Hollis Seaplane Base;55.481.667;-132.646.111;0;-9;A;America/Anchorage
HYS;Hays Regional Airport;388.422;-992.732;1998;-6;A;America/Chicago
HZL;Hazleton Municipal;40.989.167;-760.025;1603;-5;A;America/New_York
IAB;Mc Connell Afb;37.621.853;-97.268.192;1371;-6;A;America/Chicago
IAD;Washington Dulles Intl;38.944.533;-77.455.811;313;-5;A;America/New_York
IAG;Niagara Falls Intl;43.107.333;-78.946.194;589;-5;A;America/New_York
IAH;George Bush Intercontinental;29.984.433;-95.341.442;97;-6;A;America/Chicago
IAN;Bob Baker Memorial Airport;66.975.833;-160.436.667;166;-9;A;America/Anchorage
ICT;Wichita Mid Continent;37.649.944;-97.433.056;1333;-6;A;America/Chicago
ICY;Icy Bay Airport;59.968.889;-141.661.667;50;-9;A;America/Anchorage
IDA;Idaho Falls Rgnl;43.514.556;-11.207.075;4744;-7;A;America/Denver
IDL;Idlewild Intl;40.639.751;-73.778.924;13;-5;A;America/New_York
IFP;Laughlin-Bullhead Intl;351.574;-114.56;695;-7;A;America/Phoenix
IGG;Igiugig Airport;59.324;-155.902;90;-9;A;America/Anchorage
IGM;Kingman Airport;352.595;-113.938;3449;-7;A;America/Phoenix
IGQ;Lansing Municipal;415.349.167;-875.295.278;620;-6;A;America/Chicago
IJD;Windham Airport;417.440.278;-721.802.222;246;-5;A;America/New_York
IKK;Greater Kankakee;41.071.389;-87.846.278;630;-6;A;America/Chicago
IKO;Nikolski Air Station;52.941.667;-168.848.889;77;-9;A;America/Anchorage
IKR;Kirtland Air Force Base;35.040.222;-106.609.194;5355;-7;A;America/Denver
IKV;Ankeny Regl Airport;41.691.389;-93.566.389;910;-6;A;America/Chicago
ILG;New Castle;39.678.722;-75.606.528;79;-5;A;America/New_York
ILI;Iliamna;59.754.356;-154.910.961;186;-9;A;America/Anchorage
ILM;Wilmington Intl;34.270.615;-77.902.569;32;-5;A;America/New_York
ILN;Wilmington Airborne Airpark;3.942.792;-83.792.118;1077;-5;U;America/New_York
IMM;Immokalee;26.433.889;-81.401.389;37;-5;A;America/New_York
IMT;Ford Airport;458.183.611;-881.145.556;1182;-6;A;America/Chicago
IND;Indianapolis Intl;39.717.331;-86.294.383;797;-5;A;America/New_York
INJ;Hillsboro Muni;32.083.486;-97.097.228;685;-6;A;America/Chicago
INK;Winkler Co;31.779.628;-103.201.361;2822;-6;A;America/Chicago
INL;Falls Intl;48.566.186;-93.403.067;1185;-6;A;America/Chicago
INS;Creech Afb;36.587.183;-115.673.353;3133;-8;A;America/Los_Angeles
INT;Smith Reynolds;36.133.722;-80.222;969;-5;A;America/New_York
INW;Winslow-Lindbergh Regional Airport;350.219.167;-1.107.225.278;4941;-7;N;America/Phoenix
IOW;Iowa City Municipal Airport;41.639.244;-91.546.503;668;-6;A;America/Chicago
IPL;Imperial Co;32.834.219;-115.578.744;-54;-8;A;America/Los_Angeles
IPT;Williamsport Rgnl;41.241.836;-76.921.094;529;-5;A;America/New_York
IRC;Circle City Airport;65.827.778;-144.076.111;613;-9;A;America/Anchorage
IRK;Kirksville Regional Airport;400.935;-925.449;966;-6;A;America/Chicago
ISM;Kissimmee Gateway Airport;28.289.806;-81.437.083;82;-5;A;America/New_York
